product,rating,rating count,price,description
Jaspo Dominator-x Senior Plastic Cricket Full Size Bat (34” X 4.5” inch) for All Age Group with Soft Cricket Ball (Dominator-BAT) ,4.1 out of 5 stars,685  ,445,No description available
"Jaspo Slog Heavy Duty Plastic Cricket Bat,Full Size (34” X 4.5”inches) Premium Bat for All Age Groups – Kids/Boys/Girls/Adults ",4.1 out of 5 stars,4.1 out of 5 stars ,389,No description available
"Jaspo 7 Enforcers Heavy Duty Plastic Cricket Bat,Full Size (34” X 4.5”inches) Premium Bat for All Age Groups – Kids/Boys/Girls/Adults (7 ENFORCERS) ",5.0 out of 5 stars,1  ,464,No description available
"Boldfit Turf Bat Cricket for Adults Plastic Tennis Cricket Bat for Mens Heavy Plastic Cricket Bats with Grip for Gully Cricket, Tournament Match Standard Full Size Tennis Ball Bat for Cricket - Black ",4.2 out of 5 stars,310  ,397,No description available
"Jaspo Slog Heavy Duty Plastic Cricket Bat,Full Size (34” X 4.5”inches) Premium Bat for All Age Groups – Kids/Boys/Girls/Adults ",4.1 out of 5 stars,4.1 out of 5 stars ,389,No description available
"Ske Popular Willow Cricket Bat With Bat Cover For Men'S And Adult All Tennis Ball (Natural, Full Size), Wood, Multicolour ",3.3 out of 5 stars,"1,269  ",439,"Light weight bats and Great pick up, highly recommended for acadmey training. perfect for subcontinental pitches. And every bat also comes fitted with a toughened toe guard for extra protection and durability.Latest design will help the individual adapt comfortably for all formats of game i.e T20 for quick hitting,Hand made bats mostly gives better performance than the bats made using other mechanisms as the balance of such bats is much better because they go through multiple manual quality checks while the process of making, which is not practically possible in other bat making mechanisms.An Expertly Crafted Lightweight Bat Made From Super Premium Popular Willow. Made For Light Tennis Ball Cricket. The Aerodynamically Designed Long Cane Handle And Broad Face Makes The Hawk Light On Pickup And Helps Deliver Canny Deflections And Whiplash Strokes On Every Backyard, Street or Ground. Just Mind The Windows. The Curved Long Handle Profile Of The Bat Is Suited For Dhoni Style Helicopter Shots."
"JRS S014 M Popular Willow Cricket Bat Size 6 (12-14 Year Year Old Kids) with Ball Pack of 1, Wooden Cricket bat ",3.3 out of 5 stars,261  ,449,Explore a wide range of Cricket bat for Kids from the house of JRS available on Amazon.
Jaspo Dominator-x Senior Plastic Cricket Full Size Bat (34” X 4.5” inch) for All Age Group with Soft Cricket Ball (Dominator-BAT) ,4.1 out of 5 stars,685  ,445,No description available
"RS Sports Wooden Cricket Bat for Boys 9-14 Years, Size-5 (1 Bat, 1 Ball and Stump Set) ",3.1 out of 5 stars,14  ,599,The blade of the bat is made of Popular willow which is extremely hardy. The crickets with extra thick edges for good pickup and is shaped after top range bats. The bat absorbs shock well too preventing damage and strain to your hands in the long run. Popular willow Cricket Bat playing above 8+ years boys & girls The bat is meant for playing with light weight tennis ball only. Made of popular willow Light Weight Cricket Bat Perfect bat for the modern day batsmen looking to play all round the wicket. Size: short handle.
"SG Prokick Kashmir Willow Cricket Bat, Short Handle Mens ",3.9 out of 5 stars,61  ,"1,774",No description available
SG Thunder Striker Bat English Willow Hard Pressed Shaped for Superb Stroke Cricket Bat (Leather Ball) No.3 ,,N/A,"5,249","strong SG Thunder Striker Bat English willow hard pressed shaped for superb stroke Cricket Bat (Leather Ball) strong p ul li Finest English Willow hard pressed & traditionally shaped for superb stroke li li Approx 4-5 straight grains li li Imported cane handle with special formulation cork inserts for enhanced flexibility and shock absorption li li Traditional round cane handle for superior grip and bat control li li Approx 1160-1200 gm (2.9-2.11 lbs) li li Full size length approx 85.7 cm (33.7 inches) li li Depending on player height, suitable for 15 yrs+, if height 171 cms (5Ã¢\x80\x996Ã¢\x80Â³ and above) br br li ul p"
Florence Full Size Popular Cricket Bat for All Hard and Soft Tennis Bat Cricket Bat Multicolor (Hitman bat with Ball) ,3.5 out of 5 stars,27  ,599,No description available
"TOSKA Cricket Bat Full Size Popular Willow MRF Cricket Bat for Tennis Ball, Leather Ball Rubber Ball, Plastic Ball (Men|Women) (White) ",1.0 out of 5 stars,1  ,680,"The Popular Willow is also said to be of hard nature and doesn’t get dented or scared easily. After extraction of base material, the bats are sharped and shaped. And then various steps are taken to make it a perfect bat. The rest of the work is of polishing and giving it a perfect finish and with this production of bats complete. MRF Popular willow cricket bat having a flat face bat for better weight control Maximum edge thickness for power stroke play Aerodynamic shape from the back for better swing control Weight evenly spread over the back of the bat for better balancing Weight of the Bat - 1180 - 1220gm Grains - 5-6 grains Full Size Cricket Bat."
"JRS AVS Tennis Cricket bat with Free Ball (Multibrand Sticker) 8-12 Years Boys,Multicolor,Wood ",3.5 out of 5 stars,71  ,449,Explore a wide range of Cricket bat for Kids from the house of JRS available on Amazon.
"GRS Kids Zone Popular Willow Cricket Bat with Wicket Set & 1 Tennis Ball for Kids (Size 3, Age 6-10 Year Old Kids) Multicolor ",3.9 out of 5 stars,933  ,429,"GRS Kids Zone Popular Willow Cricket Bat with Wicket Set & 1 Tennis Ball for Kids (Size 3, Age 6-10 Year Old Kids) Multicolor"
"Lycan Junior Cricket Bat Size 3, Age 6-8 Year Old Kids # 1pc Cricket bat only ",3.9 out of 5 stars,237  ,198,No description available
"TOSKA Wooden Cricket Bat Full Size Popular Willow TSK-MRF VK Genius-Cricket Bat with Bat Cover for Tennis Ball, Rubber Ball, Plastic Ball (Women & Men) ",4.3 out of 5 stars,3  ,739,"The Popular Willow is also said to be of hard nature and doesn’t get dented or scared easily. After extraction of base material, the bats are sharped and shaped. And then various steps are taken to make it a perfect bat. The rest of the work is of polishing and giving it a perfect finish and with this production of bats complete. MRF Popular willow cricket bat having a flat face bat for better weight control Maximum edge thickness for power stroke play Aerodynamic shape from the back for better swing control Weight evenly spread over the back of the bat for better balancing Weight of the Bat - 1180 - 1220gm Grains - 5-6 grains Full Size Cricket Bat."
Briovy Power Poplar Willow Cricket Wooden Bat Playing with Tennis Cricket Ball for Boys (Red) ,2.9 out of 5 stars,92  ,699,"The crickets with extra thick edges for good pickup and is shaped after top range bats. The bat absorbs shock well too preventing damage and strain to your hands in the long run. Popular willow Cricket Bat playing years boys & girls The bat is meant for playing with light weight tennis ball only. Made of popular willow Light Weight Cricket Bat Perfect bat for the modern day batsmen looking to play all round the wicket. Size: short handle World's finest Kashmir willow hard pressed & traditionally shaped for superb strokes with web tape on front for extra protection Handle- Singapore cane handle with special 3 way insertion of cork in between splits for enhanced flexibility and shock absorption Handle shape- Traditional Round cane handle for Supreme grip and overall Bat control Material: Kashmir Willow, 2020 Limited Edition Material: Kashmir Willow, 2020 Limited Edition"
Florence Special Edition 2023 Scoop Tennis Cricket Bat Full Size Popular Willow bat (New Power Bat) ,,N/A,587,"Superb Pick-up Each cricket bat offers a design and shape for the best performance. This unique shape delivers superb pick-up, making the bat feel lighter than it actually is and making it easy to control when swinging and hitting the ball. Easy, Comfortable Grip Outfitted with a high-quality velvet grip for extra comfort, the cricket bat is easy to grip and hold for lengthy periods of time. This comfortable handle allows for longer practice sessions so you can enjoy playing for hours on end. Perfect Weight Distribution Each full adult size bat is lightweight, allowing you to hit the ball with both speed and power. With the right weight, you will be able to time the ball better and ultimately make more runs."
Strauss Cricket Bat | Edition: 2000 | Kashmir Willow| Size: SH | Tennis Cricket Bat | Premium Tennis & Synthetic Ball Cricket Bat ,3.7 out of 5 stars,31  ,"1,229",No description available
"TOSKA SPARTAN's MSD White Cricket Bat Full Size Popular Willow Cricket BAT for Tennis Ball, Rubber Ball ",2.7 out of 5 stars,11  ,758,"The Popular Willow is also said to be of hard nature and doesn’t get dented or scared easily. After extraction of base material, the bats are sharped and shaped. And then various steps are taken to make it a perfect bat. The rest of the work is of polishing and giving it a perfect finish and with this production of bats complete. Spartan Popular willow cricket bat having a flat face bat for better weight control Maximum edge thickness for power stroke play Aerodynamic shape from the back for better swing control Weight evenly spread over the back of the bat for better balancing Weight of the Bat - 1180 - 1220gm Grains - 5-6 grains Full Size Cricket Bat."
"TOSKA Wooden Cricket Bat Full Size Popular Willow TSK-MRF VK Genius-Cricket Bat with Bat Cover for Tennis Ball, Rubber Ball, Plastic Ball (Women & Men) ",4.3 out of 5 stars,3  ,739,"The Popular Willow is also said to be of hard nature and doesn’t get dented or scared easily. After extraction of base material, the bats are sharped and shaped. And then various steps are taken to make it a perfect bat. The rest of the work is of polishing and giving it a perfect finish and with this production of bats complete. MRF Popular willow cricket bat having a flat face bat for better weight control Maximum edge thickness for power stroke play Aerodynamic shape from the back for better swing control Weight evenly spread over the back of the bat for better balancing Weight of the Bat - 1180 - 1220gm Grains - 5-6 grains Full Size Cricket Bat."
GM Diamond 505 English Willow Cricket Bat for Men | Short Handle| Ready to Play | Lightweight | Free Cover | ,4.1 out of 5 stars,3  ,"10,729",No description available
"TOSKA Wooden TK-MRF'S VK 18 Cricket Bat Full Size Popular Willow Cricket BAT for Tennis Ball, Leather Ball, Rubber Ball (Men, Women) ",2.9 out of 5 stars,99  ,767,"The Popular Willow is also said to be of hard nature and doesn’t get dented or scared easily. After extraction of base material, the bats are sharped and shaped. And then various steps are taken to make it a perfect bat. The rest of the work is of polishing and giving it a perfect finish and with this production of bats complete. MRF Popular willow cricket bat having a flat face bat for better weight control Maximum edge thickness for power stroke play Aerodynamic shape from the back for better swing control Weight evenly spread over the back of the bat for better balancing Weight of the Bat - 1180 - 1220gm Grains - 5-6 grains Full Size Cricket Bat."
"VICTORY Plastic bat, Cricket bat, Plastic bat Full Size,Hard Plastic Bat, Unique PVC/Plastic Cricket Bat (Green) ",3.9 out of 5 stars,9  ,370,"Simple and Durable: Significant plastic material makes it stronger and effective batting. Compact styles are felt safer while batting. This Cricket Bat is designed for specifically who are willing to play on their gully or streets, park or any nearby location. Best Material: Strong Coated material is utilized for making this Best quality Bat. It is perfect for all age groups. Superior Quality Bats gives a smooth and great shots."
MS Wooden Cricket Tennis Bat with Cover Full Size (MRF BAT) ,4.2 out of 5 stars,3  ,590,"Popular Willow Cricket Bat with and Bat Cover for Tennis Ball, Full Size Item Name (aka Title) .★ Light weight bats cover Great pick up, highly recommended for academy training. ★ perfect for subcontinental pitches, And every bat also comes fitted with a toughened toe guard for extra protection and durability. ★ Latest design will help the individual adapt comfortably for all formats of game i.e T20 for quick hitting,Hand made bats mostly gives better performance. ★ Designed and shaped with large edges and sweet spot for providing maximum acceleration to ball with minimum jarring of the hands and forearms. ★ As the bat is for tennis ball, you may use it for soft or hard tennis ball. It reflects the quality of wood used in the bat. The bat is for tennis ball only but you may also use it for hard tennis ball. Also, it comes with a protective guard and shown in the picture."
"MSB Sports Popular Willow Cricket Bat for Tennis Ball, Size 5,Natural(ST-5-Popular) with Cover and Tennis Ball ",3.0 out of 5 stars,26  ,399,"POPULAR WILLOW CRICKET BAT MEANT FOR PLAYING BY ONLY 8+ Years BOYS and GIRLS. Used to hit a Tennis ball, this cricket bat is expertly crafted using Popular willow to provide long-lasting performance on the pitch. TENNIS BALL CRICKET BAT."
XTROKE Scoop Design Popular Willow Cricket Bat for All Tennis Balls Full Size (Only Bat) ,2.2 out of 5 stars,123  ,470,No description available
"RS Sports New Cricket Bat Full Size Popular Willow Cricket BAT for Tennis Ball, Leather Ball, Rubber Ball (Men, Women) Size [5] Pack of [1] ",1.0 out of 5 stars,1  ,390,"A cricket bat is a specialised piece of equipment used by batters in the sport of cricket to hit the ball, typically consisting of a cane handle attached to a flat-fronted willow-wood blade. It may also be used by a batter who is making ground to avoid a run out, by holding the bat and touching the ground with it. The length of the bat may be no more than 38 inches (96.5 cm) and the width no more than 4.25 inches (10.8 cm). Poplar Willow are for kids and beginners of cricket. They are called so because they are made from Poplar tree. These bats have Selected Willow written on them. The most economical form of willow, usually used to manufacture tennis ball cricket bats or bats used by absolute beginners."
"PMG Virat Kohli Wooden Cricket Bat for Boys 9-14 Years, Size-6 (1 Bat, 1 Ball, 1 Cap) ",3.2 out of 5 stars,117  ,398,The blade of the bat is made of Popular willow which is extremely hardy. The crickets with extra thick edges for good pickup and is shaped after top range bats. The bat absorbs shock well too preventing damage and strain to your hands in the long run. Popular willow Cricket Bat playing above 8+ years boys & girls The bat is meant for playing with light weight tennis ball only. Made of popular willow Light Weight Cricket Bat Perfect bat for the modern day batsmen looking to play all round the wicket. Size: short handle
Special Edition (Single Blade) Cricket Tennis Bat Kashmir Willow Play with Soft Tennis Light Weight Ball (Wooden Handle) (Scoop Bat Long Handle 35) ,3.6 out of 5 stars,3  ,"1,199","Scoop Long Hit Tennis Ball Cricket Bat, a lightweight Tennis Bat Under - 1050 grams, Ideal for hard and delicate tennis balls, wonderful to simply hit a long six, with an edge size advantage, Kashmir Willow cricket bat is recently are right now intended for the sort of player who likes to bat long, while playing both front and back foot shots. Cricket bat are Comprised of handles having a hold that gives better control on going after shots. With thick edges and a huge perfect balance, this bat is hand chosen to give the ideal weight which is great for top-class hazardous batting. Saturated with a round stick handle, and a level wide face with a slight ebb and flow, it guarantees even circulation across the substance of the bat empowering complete control in shot-making. It is planned with a bent bow and a squared toe to expand the hitting surface region while bringing down the focal point of gravity for unequaled equilibrium and power conveyance. This GTN Next bat has gone through thorough lab tests, guaranteeing a life span and top-quality affirmation. The GTN Next is ideally suited for the 15+ age bunch, proficient degree of play, and cricket tennis balls. GTN Next is the new brand name for Sports and Wellness items that were before sold under."
TOSKA Cricket Bat Full Size Popular Willow Spartan Cricket Bat for Tennis Ball | Rubber Ball | Plastic Ball (Men|Women) (White Blue) ,3.4 out of 5 stars,3  ,689,"The Popular Willow is also said to be of hard nature and doesn’t get dented or scared easily. After extraction of base material, the bats are sharped and shaped. And then various steps are taken to make it a perfect bat. The rest of the work is of polishing and giving it a perfect finish and with this production of bats complete. Spartan Popular willow cricket bat having a flat face bat for better weight control Maximum edge thickness for power stroke play Aerodynamic shape from the back for better swing control Weight evenly spread over the back of the bat for better balancing Weight of the Bat - 1180 - 1220gm Grains - 5-6 grains Full Size Cricket Bat."
MSB Kashmir Willow Handcrafted Cricket Bat Winner and Play with Hard & Soft Tennis Ball Genius and 1 Free Black bat Cover for Lovers ad professiol Grade (Pack of 1). ,5.0 out of 5 stars,1  ,999,"Quality Cane Handle to Deliver Superior Flexibility For Powerful & Control Shot. Lightweight, Suitable for All types of hard tennis,Fully hand made light weight Finest base nude full size short handle sports cricket bat.Msb association with sports in India, especially cricket, goes all the way back to the 1980s. We took it to the next level in the 1990s when some of the world's best batsmen wielded bats sponsored by us, playing unforgettable knocks that swept you through a whole range of emotions. Now we take a step closer to you. Presenting Msb Sports Goods, available at over 350 stores across the country."
"Troft Massive Spot Cricket Bat - Kashmir Willow, Free Bat Cover | Size : Harrow ",4.3 out of 5 stars,59  ,"1,199",No description available
RMP Kashmir Willow Cricket bat Leather Cricket bat with Strong Grip and with 1 Leather Ball Free with The bat and bat Cover is Also provided. ,4.0 out of 5 stars,1  ,"1,490",No description available
Jaspo Be Wild Heavy Duty Plastic Cricket Bat Full Plastic bat Hard Plastic Bat Cricket bat Full Size for All Age Groups – Kids Boys Girls Adults(Off White) ,,FREE Delivery by Amazon,499,"The jaspo be-wild Cricket bat features state-of-the-art construction, combining advanced materials and expert craftsmanship. the blade is made from high-quality English willow, renowned for its superior strength and responsiveness. this ensures optimal power transfer and explosive hitting capability, allowing you to send the ball sailing over the boundary with ease. with its unique design, the be-wild Cricket bat pushes the boundaries of innovation. the blade is slightly shorter than traditional bats, allowing for greater control and maneuverability. this design tweak enables you to react quickly to deliveries and play shots with precision, making it an ideal choice for aggressive batsmen. the be-wild Cricket bat incorporates a thick profile with a substantial sweet spot to maximize performance. this feature provides an extended hitting zone, increasing your chances of striking the ball cleanly and generating maximum power. whether you prefer smashing boundaries or finding gaps, this bat empowers you to dominate the game. the handle of the be-wild Cricket bat is crafted from premium quality sarawak cane, known for its exceptional shock absorption properties. it offers a comfortable grip, reducing vibrations upon impact and allowing you to maintain control over your shots. the handle's ergonomic design also ensures excellent balance and stability during your strokes. with its eye-catching aesthetics, the be-wild Cricket bat demands attention on the field. the sleek and vibrant graphics exude confidence, reflecting your passion for the sport. each bat is meticulously handcrafted and undergoes rigorous quality checks to guarantee its durability and performance. unleash your wild side and elevate your cricketing prowess with the jaspo be-wild Cricket bat. whether you're playing professionally or for recreational purposes,"
"TOSKA Cricket Bat Full Size Popular Willow Spartan Cricket Bat for Tennis Ball, Leather Ball Rubber Ball, Plastic Ball (Men|Women) (Blue) ",3.9 out of 5 stars,5  ,699,"The Popular Willow is also said to be of hard nature and doesn’t get dented or scared easily. After extraction of base material, the bats are sharped and shaped. And then various steps are taken to make it a perfect bat. The rest of the work is of polishing and giving it a perfect finish and with this production of bats complete. Spartan Popular willow cricket bat having a flat face bat for better weight control Maximum edge thickness for power stroke play Aerodynamic shape from the back for better swing control Weight evenly spread over the back of the bat for better balancing Weight of the Bat - 1180 - 1220gm Grains - 5-6 grains Full Size Cricket Bat."
RMP Kashmir Willow Leather Cricket bat with Strong Grip and with 1 Leather Ball Free with The bat and bat Cover is Also provided. ,3.1 out of 5 stars,18  ,"1,499",No description available
"TOSKA SPARTAN's MSD White Cricket Bat Full Size Popular Willow Cricket BAT for Tennis Ball, Rubber Ball ",2.7 out of 5 stars,11  ,758,"The Popular Willow is also said to be of hard nature and doesn’t get dented or scared easily. After extraction of base material, the bats are sharped and shaped. And then various steps are taken to make it a perfect bat. The rest of the work is of polishing and giving it a perfect finish and with this production of bats complete. Spartan Popular willow cricket bat having a flat face bat for better weight control Maximum edge thickness for power stroke play Aerodynamic shape from the back for better swing control Weight evenly spread over the back of the bat for better balancing Weight of the Bat - 1180 - 1220gm Grains - 5-6 grains Full Size Cricket Bat."
XTROKE The Boss Edition Scoop Design Popular Willow for Boys and Girls Advance Play (Full Size) (Scoop Cricket Bat with bat Cover) ,3.1 out of 5 stars,39  ,487,No description available
"PMG Hotspot Tennis Cricket Bat with 1 Ball Cricket Kit (for 6-9 Years Kids, Wood) ",3.3 out of 5 stars,70  ,299.,This combo contains 1 bat and 1 tennis balls. Cricket bat suitable to play with tennis ball.
"Kansal Popular Willow Cricket Bat with Ball for Men and Kids Full Size, 15 Years and Above Adult (Wood) ",3.4 out of 5 stars,282  ,485,"Light weight bats and Great pick up, highly recommended for acadmey training. perfect for subcontinental pitches. And every bat also comes fitted with a toughened toe guard for extra protection and durability.Latest design will help the individual adapt comfortably for all formats of game i.e T20 for quick hitting,Hand made bats mostly gives better performance than the bats made using other mechanisms as the balance of such bats is much better because they go through multiple manual quality checks while the process of making, which is not practically possible in other bat making mechanisms.An Expertly Crafted Lightweight Bat Made From Super Premium Popular Willow. Made For Light Tennis Ball Cricket. The Aerodynamically Designed Long Cane Handle And Broad Face Makes The Hawk Light On Pickup And Helps Deliver Canny Deflections And Whiplash Strokes On Every Backyard, Street or Ground. Just Mind The Windows. The Curved Long Handle Profile Of The Bat Is Suited For Dhoni Style Helicopter Shots."
PMG Poplar Willow Wooden Cricket Bat with Tennis Cricket Ball Combo for Boys Red (Size 6 for Age 12-14 Years) and Bag Cover ,3.5 out of 5 stars,"1,149  ",392,The blade of the bat is made of Popular willow which is extremely hardy. The crickets with extra thick edges for good pickup and is shaped after top range bats. The bat absorbs shock well too preventing damage and strain to your hands in the long run. Popular willow Cricket Bat playing years boys & girls The bat is meant for playing with light weight tennis ball only. Made of popular willow Light Weight Cricket Bat Perfect bat for the modern day batsmen looking to play all round the wicket. Size: short handle
"Victory Plastic Bat, Plastic Cricket Bat Hard Plastic, Plastic Bat for Tennis and Wind Ball, Cricket Bat ",3.6 out of 5 stars,8  ,369,No description available
"Boldfit Turf Bat Cricket for Adults Plastic Tennis Cricket Bat for Mens Heavy Plastic Cricket Bats with Grip for Gully Cricket, Tournament Match Standard Full Size Tennis Ball Bat for Cricket - Black ",4.2 out of 5 stars,310  ,397,No description available
"Klapp Test Popular Willow Handle Cricket Bat, Size 7 , wood (Off-White, Round) ",3.0 out of 5 stars,28  ,599,It is a Light weight bat ideally suited for young aspiring cricketers
TOSKA Full Size Wood Spartan Cricket Bat with One Grip and Bat Cover for All Hard and Soft Tennis Ball/Plastic Ball for Men and Women (White) ,3.3 out of 5 stars,19  ,849,No description available
"FitBox Sports Viper Series Full Size Heavy Duty Plastic Cricket Bat Suitable with Tennis Ball, Wind Ball & Plastic Ball. ",4.0 out of 5 stars,23  ,425,"FitBox Sports Full Size Hevay Duty Plastic Cricket Bat Suitable with Tennis Ball, Wind Ball & Plastic Ball."
"Generic 2023 Special Edition Popular Willow Cricket Bat, Full Size (New-Version) Multicolor Childrens bat ",3.1 out of 5 stars,7  ,630,No description available
"PMG Popular Willow Cricket Bat with PVC Wicket Set & 1 Tennis Ball for Kids, Boys, Girls, Men, Wood (Size 3 for 6-8 Years Kids) ",3.7 out of 5 stars,123  ,399.,"In The Box: 1 Pc Wooden Bat Size 3, 1 Plastic Wicket Set ( 3 Stumps, 2 Bails, 1 Base), 1 Tennis Ball PMG Popular Willow Cricket Bat with Wicket Set & 1 Tennis Ball for Kids (Size 3, Age 6-8 Year Old Kids), Wood"
"GM Maxi Mini Cricket Bat 17"" ( Not Meant For Playing) ",3.6 out of 5 stars,97  ,299,"This is small bat. It is used to get autographs of cricket players & can be showcased. These bats could be gifted, however due to their small size it can't be used for playing cricket. Its good for display."
TOSKA Full Size Tennis Ball Kookaburra Cricket Bat for Rubber/Plastic/Cosco Ball (Men|Women) (Black) ,,N/A,699,"The Popular Willow is also said to be of hard nature and doesn’t get dented or scared easily. After extraction of base material, the bats are sharped and shaped. And then various steps are taken to make it a perfect bat. The rest of the work is of polishing and giving it a perfect finish and with this production of bats complete. Kookaburra Popular willow cricket bat having a flat face bat for better weight control Maximum edge thickness for power stroke play Aerodynamic shape from the back for better swing control Weight evenly spread over the back of the bat for better balancing Weight of the Bat - 1180 - 1220gm Grains - 5-6 grains Full Size Cricket Bat."
